Time (s): 0
600	N: 1. 
20	P: 1. 
Time (s): 1
1	P: 2. 
599	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 2
595	N: 1. 
5	P: 1. N: 1. 
15	P: 1. 
Time (s): 3
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 4
2	P: 2. 
599	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
Time (s): 5
1	P: 2. 
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
15	P: 1. 
Time (s): 6
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 7
1	P: 2. N: 2. 
597	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 8
597	N: 1. 
3	P: 1. N: 1. 
17	P: 1. 
Time (s): 9
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 10
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 11
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 12
20	P: 1. 
600	N: 1. 
Time (s): 13
20	P: 1. 
600	N: 1. 
Time (s): 14
1	P: 2. N: 2. 
598	N: 1. 
18	P: 1. 
Time (s): 15
1	P: 2. N: 1. 
598	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 16
4	P: 1. N: 1. 
14	P: 1. 
596	N: 1. 
1	P: 2. 
Time (s): 17
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
1	P: 2. 
Time (s): 18
18	P: 1. 
600	N: 1. 
1	P: 2. 
Time (s): 19
1	P: 2. N: 1. 
599	N: 1. 
18	P: 1. 
Time (s): 20
20	P: 1. 
600	N: 1. 
Time (s): 21
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 22
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 23
20	P: 1. 
600	N: 1. 
Time (s): 24
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 25
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 26
598	N: 1. 
2	P: 1. N: 1. 
18	P: 1. 
Time (s): 27
599	N: 1. 
1	P: 1. N: 1. 
19	P: 1. 
Time (s): 28
1	P: 2. 
599	N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
Time (s): 29
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
Time (s): 30
1	P: 2. 
598	N: 1. 
2	P: 1. N: 1. 
16	P: 1. 
