Time (s): 0
600	N: 1. 
20	P: 1. 
Time (s): 1
3	P: 1. N: 1. 
17	P: 1. 
597	N: 1. 
Time (s): 2
1	P: 2. 
4	P: 1. N: 1. 
14	P: 1. 
596	N: 1. 
Time (s): 3
1	P: 2. N: 1. 
1	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
597	N: 1. 
Time (s): 4
1	P: 2. N: 2. 
598	N: 1. 
14	P: 1. 
2	P: 2. 
Time (s): 5
2	P: 2. 
2	P: 1. N: 1. 
14	P: 1. 
598	N: 1. 
Time (s): 6
1	P: 2. 
1	P: 1. N: 1. 
17	P: 1. 
599	N: 1. 
Time (s): 7
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 8
600	N: 1. 
20	P: 1. 
Time (s): 9
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 10
1	P: 2. 
1	P: 1. N: 1. 
15	P: 1. 
1	P: 2. N: 2. 
597	N: 1. 
Time (s): 11
1	P: 1. N: 1. 
17	P: 1. 
1	P: 2. N: 2. 
597	N: 1. 
Time (s): 12
1	P: 1. N: 1. 
19	P: 1. 
599	N: 1. 
Time (s): 13
1	P: 2. N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
598	N: 1. 
Time (s): 14
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 15
18	P: 1. 
1	P: 2. N: 2. 
598	N: 1. 
Time (s): 16
1	P: 2. N: 1. 
1	P: 1. N: 1. 
17	P: 1. 
598	N: 1. 
Time (s): 17
3	P: 1. N: 1. 
15	P: 1. 
1	P: 2. N: 2. 
595	N: 1. 
Time (s): 18
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 19
18	P: 1. 
1	P: 2. N: 2. 
598	N: 1. 
Time (s): 20
3	P: 1. N: 1. 
15	P: 1. 
1	P: 2. N: 2. 
595	N: 1. 
Time (s): 21
1	P: 1. N: 1. 
17	P: 1. 
1	P: 2. N: 2. 
597	N: 1. 
Time (s): 22
1	P: 2. N: 1. 
18	P: 1. 
599	N: 1. 
Time (s): 23
18	P: 1. 
1	P: 2. N: 2. 
598	N: 1. 
Time (s): 24
1	P: 1. N: 1. 
17	P: 1. 
1	P: 2. N: 2. 
597	N: 1. 
Time (s): 25
2	P: 1. N: 1. 
16	P: 1. 
1	P: 2. N: 2. 
596	N: 1. 
Time (s): 26
2	P: 1. N: 1. 
18	P: 1. 
598	N: 1. 
Time (s): 27
600	N: 1. 
20	P: 1. 
Time (s): 28
1	P: 1. N: 1. 
