Time (s): 1e-06
10	P: 2. N: 2. 
580	N: 1. 
Time (s): 1
7	P: 1. 
3	P: 2. N: 1. 
3	P: 2. 
1	P: 1. N: 1. 
596	N: 1. 
Time (s): 2
1	P: 1. N: 1. 
13	P: 1. 
1	P: 2. N: 1. 
2	P: 2. 
598	N: 1. 
Time (s): 3
1	P: 2. 
16	P: 1. 
1	P: 2. N: 1. 
599	N: 1. 
Time (s): 4
1	P: 2. 
14	P: 1. 
1	P: 2. N: 1. 
2	P: 1. N: 1. 
597	N: 1. 
Time (s): 5
17	P: 1. 
3	P: 1. N: 1. 
597	N: 1. 
Time (s): 6
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
Time (s): 7
17	P: 1. 
3	P: 1. N: 1. 
597	N: 1. 
Time (s): 8
19	P: 1. 
1	P: 1. N: 1. 
599	N: 1. 
Time (s): 9
18	P: 1. 
2	P: 1. N: 1. 
598	N: 1. 
