Time (s): 0
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 21
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 22
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 23
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 24
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 25
1	S: 4. P: 2. 
444	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 2. 
1	S: 1. 
Time (s): 26
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 27
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 28
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 29
1	S: 3. N: 1. P: 2. 
1	S: 2. 
1	S: 1. 
444	N: 1. 
1	S: 4. N: 1. P: 2. 
Time (s): 30
1	S: 4. N: 1. P: 2. 
1	S: 2. 
1	S: 1. 
444	N: 1. 
1	S: 3. N: 1. P: 2. 
Time (s): 31
1	S: 4. N: 2. P: 2. 
1	S: 3. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 32
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 33
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 34
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 35
1	S: 4. N: 2. P: 2. 
442	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 36
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 37
1	S: 4. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 38
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 39
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 40
1	S: 2. 
1	S: 1. 
1	S: 3. N: 1. P: 2. 
1	S: 4. P: 2. 
445	N: 1. 
Time (s): 41
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 42
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 43
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 44
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 45
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 46
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 47
1	S: 3. P: 2. 
1	S: 4. N: 2. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 48
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 49
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 50
1	S: 4. P: 2. 
1	S: 3. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 51
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 52
1	S: 4. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 53
1	S: 4. P: 2. 
1	S: 3. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 54
1	S: 4. N: 1. P: 2. 
1	S: 3. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 55
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 56
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 57
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 58
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 59
1	S: 4. P: 2. 
1	S: 3. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 60
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 61
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 62
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 2. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 63
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 64
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 65
1	S: 4. N: 1. P: 2. 
1	S: 3. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 66
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 67
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 68
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 69
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 70
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 71
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 72
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 73
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 74
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 75
1	S: 3. P: 2. 
1	S: 4. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 76
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 77
1	S: 4. N: 2. P: 2. 
442	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 78
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 79
1	S: 4. N: 2. P: 2. 
442	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 80
1	S: 4. P: 2. 
1	S: 3. P: 2. 
446	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 81
1	S: 4. N: 2. P: 2. 
442	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 82
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 83
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 84
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 85
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 86
1	S: 3. P: 2. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 87
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 88
1	S: 4. P: 2. 
1	S: 3. N: 1. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 89
1	S: 4. N: 1. P: 2. 
1	S: 3. P: 2. 
445	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 90
1	S: 3. P: 2. 
1	S: 2. 
1	S: 1. 
1	S: 4. N: 1. P: 2. 
445	N: 1. 
Time (s): 91
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 92
1	S: 4. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
Time (s): 93
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 94
1	S: 4. N: 1. P: 2. 
1	S: 3. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 95
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 96
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 97
1	S: 2. 
1	S: 3. N: 2. P: 2. 
1	S: 1. 
442	N: 1. 
1	S: 4. N: 2. P: 2. 
Time (s): 98
1	S: 3. N: 1. P: 2. 
1	S: 4. N: 1. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 99
1	S: 4. N: 2. P: 2. 
1	S: 3. P: 2. 
444	N: 1. 
1	S: 2. 
1	S: 1. 
Time (s): 100
1	S: 4. P: 2. 
444	N: 1. 
1	S: 3. N: 2. P: 2. 
1	S: 2. 
1	S: 1. 
Time (s): 101
1	S: 4. N: 2. P: 2. 
1	S: 3. N: 1. P: 2. 
443	N: 1. 
1	S: 2. 
1	S: 1. 
